Storm ID,Name,Year,Landfall Code,Coastal Counties within RMW,State,FIPS Code,Landfall Population,2022 Population,Landfalling Housing Units,2022 Housing Units
AL061933,Chesapeake-Potomac,1933,LF1,Hyde,NC,37095,8343,4576,"1,836","3,167"
AL061933,Chesapeake-Potomac,1933,LF1,Pasquotank,NC,37139,"19,571","40,938","4,295","17,682"
AL061933,Chesapeake-Potomac,1933,LF1_Total,Total First ,,,"50,815",128938,"11,367","79,616"
AL071935,Yankee,1935,LF1,Broward,FL,12011,29944,1947026,"10,562","867,215"
AL071935,Yankee,1935,LF1,Miami-Dade,FL,12086,205347,2673837,"62,354","1,095,553"
AL071935,Yankee,1935,LF1_Total,Total First ,,,235291,4620863,"72,916","1,962,768"
AL061938,Great New England,1938,LF1,Fairfield,CT,09001,"412,048","959,768","114,135","380,686"
AL061938,Great New England,1938,LF1,New Haven,CT,09009,"480,143","863,700","133,517","370,802"
AL061938,Great New England,1938,LF1,Suffolk,NY,36103,190095,1525465,"67,839","580,676"
AL061938,Great New England,1938,LF1,Nassau,NY,36059,386009,"1,383,726","116,514","479,297"
AL061938,Great New England,1938,LF1_Total,Total First ,,,"1,468,295","4,732,659","432,005","1,811,461"
AL131944,Cuba Florida,1944,LF1,Charlotte,FL,12015,3912,202661,"1,718","118,233"
AL131944,Cuba Florida,1944,LF1,Monroe,FL,12087,20430,81708,"6,051","54,862"
AL131944,Cuba Florida,1944,LF1,Sarasota,FL,12115,21194,462286,"9,137","266,141"
AL131944,Cuba Florida,1944,LF1,Hillborough,FL,12057,"208,046","1,513,301","64,379","628,454"
AL131944,Cuba Florida,1944,LF1,Lee,FL,12071,"19,854","822,453","7,063","442,027"
AL131944,Cuba Florida,1944,LF1,Pinellas,FL,12103,"118,811","961,739","52,811","519,812"
AL131944,Cuba Florida,1944,LF1,Manatee,FL,12081,29540,429125,"11,193","220,656"
AL131944,Cuba Florida,1944,LF1_Total,Total First ,,,60255.28571,639039,"152,352","2,250,185"
AL131944,Cuba Florida,1944,DIL1,South Carolina State,SC,,"1,986,693","5,282,634","498,408","2,446,724"
AL071944,Great Atlantic,1944,LF1,Suffolk,NY,36103,228865,1525465,"88,712","580,676"
AL071944,Great Atlantic,1944,LF1,Bristol ,MA,25005,"371,410","580,068","107,092","245,047"
AL071944,Great Atlantic,1944,LF1,New London County,CT,09011,"133,063","268,805","41,831","123,392"
AL071944,Great Atlantic,1944,LF1,Kent County,RI,44003,"66,092","171,275","21,364","76,568"
AL071944,Great Atlantic,1944,LF1,Newport County,RI,44005,"52,633","84,481","16,336","43,668"
AL071944,Great Atlantic,1944,LF1,Washington County,RI,44009,"38,913","130,330","14,454","66,432"
AL071944,Great Atlantic,1944,LF1,Bristol County,RI,44001,"26,960","50,360","8,572","21,607"
AL071944,Great Atlantic,1944,LF1,Providence County,RI,44007,"560,168","657,288","159,014","277,754"
AL071944,Great Atlantic,1944,LF1_Total,Total First ,,,1478104,3468072,"457,375","1,435,144"
AL071944,Great Atlantic,1944,ID1,North Carolina State,NC,,"3,767,745","10,698,973","915,880","4,892,662"
AL091945,Homestead,1945,LF1,Monroe,FL,12087,"22,018",81708,"6,443","54,862"
AL091945,Homestead,1945,LF1,Miami-Dade,FL,12086,381412,2673837,"135,565","1,095,553"
AL091945,Homestead,1945,LF1_Total,Total First ,,,"403,430",2755545,"142,008","1,150,415"
AL041947,Fort Lauderdale,1947,LF1,Broward,FL,12011,"70,691",1947026,"30,182","867,215"
AL041947,Fort Lauderdale,1947,LF1,Miami-Dade,FL,12086,"426,881",2673837,"153,602","1,095,553"
AL041947,Fort Lauderdale,1947,LF1,Palm Beach,FL,12099,"104,278","1,518,477","41,059","720,741"
AL041947,Fort Lauderdale,1947,LF1_Total,Total First ,,,"601,850",6139340,"224,843","2,683,509"
AL041947,Fort Lauderdale,1947,LF2,Plaquemines Parish,LA,22075,"13,663",22516,"3,690","9,793"
AL041947,Fort Lauderdale,1947,LF2,St. Bernard Parish,LA,22087,9945,44479,"2,812","18,330"
AL041947,Fort Lauderdale,1947,LF2_Total,Total Second,,,"23,608","66,995","6,502","28,123"
AL041948,Fort Lauderdale,1947,Total_All,Total All,,,"625,458","6,206,335","231,345","2,711,632"
AL021949,Florida,1949,LF1,Palm Beach,FL,12099,111218,1518477,"44,688","720,741"
AL021949,Florida,1949,LF1,Broward,FL,12011,"79,519","1,947,026","34,250","867,215"
AL021949,Florida,1949,LF1_Total,Total First ,,,190737,3465503,"78,938","1,587,956"
AL141954,Hazel,1954,LF1,Horry,SC,45051,63191,383101,"19,855","217,330"
AL141954,Hazel,1954,LF1,Brunswick,NC,37019,19654,153064,"5,751","98,132"
AL141954,Hazel,1954,LF1_Total,Total First ,,,82845,536165,"25,606","315,462"
AL061954,Carol,1954,LF1,Suffolk,NY,36103,432391,1525465,"154,822","580,676"
AL061954,Carol,1954,LF1,New London ,CT,9011,161191,"268,805","53,099","123,392"
AL061954,Carol,1954,LF1,Washington,RI,44009,"52,747","130,330","20,061","66,432"
AL061954,Carol,1954,LF1_Total,Total First ,,,646329,1924600,"227,982","770,500"
AL061954,Carol,1954,ID1,North Carolina State,NC,,4259619,"10,698,973","1,164,203","4,892,662"
AL051961,Donna,1960,LF1,Monroe,FL,12087,47921,81708,"16,721","54,862"
AL051960,Donna,1960,LF1,Collier,FL,12021,15753,397994,"5,950","240,238"
AL051960,Donna,1960,LF1_Total,Total First ,,,63674,479702,"22,671","295,100"
AL051960,Donna,1960,LF2,Brunswick,NC,37019,"20,278","153,064","6,616","98,132"
AL051960,Donna,1960,LF2,Carteret County,NC,37031,"30,940","69,380",9866,"52,199"
AL051960,Donna,1960,LF2,Craven County,NC,37049,"58,773","100,874","16,457","47,777"
AL051960,Donna,1960,LF2,Onslow,NC,37133,82706,207298,"18,648","87,540"
AL051960,Donna,1960,LF2,Pender,NC,37141,18508,65737,"5,964","31,765"
AL051960,Donna,1960,LF2,New Hanover County,NC,37129,"71,742","234,921","24,578","120,181"
AL051960,Donna,1960,LF2,Pamlico County,NC,37137,"9,850","12,381","3,038","7,311"
AL051960,Donna,1960,LF2_Total,Total Second,,,"292,797","843,655","85,167","444,905"
AL051960,Donna,1960,LF3,Suffolk,NY,36103,666784,1525465,"224,451","580,676"
AL051960,Donna,1960,LF3,Nassau,NY,36059,1300171,1383726,"366,303","479,297"
AL051960,Donna,1960,LF3,Queens,NY,36018,"1,809,578","2,278,029","617,077","911,957"
AL051960,Donna,1960,LF3,Middlesex,CT,09007,"88,865","164,759","32,426","76,491"
AL051960,Donna,1960,LF3,New Haven,CT,09009,660315,"863,700","212,735","370,802"
AL051960,Donna,1960,LF3,Fairfield,CT,09001,653589,"959,768","208,997","380,686"
AL051960,Donna,1960,LF3_Total,Total Third,,,5179302,7175447,"1,661,989","2,799,909"
AL051961,Donna,1960,Total_All,Total All,,,"5,535,773","8,498,804","1,769,827","3,539,914"
AL031961,Carla,1961,LF1,Calhoun,TX,48057,"16,720",19706,"5,750","10,863"
AL031961,Carla,1961,LF1,Matagorda,TX,48321,"25,971",36125,"9,625","19,223"
AL031961,Carla,1961,LF1_Total,Total First ,,,"42,691",55831,"15,375","30,086"
AL061964,Dora,1964,LF1,St. Johns,FL,12109,"30,573",306841,"11,124","133,445"
AL061964,Dora,1964,LF1_Total,Total First ,,,"30,573",306841,"11,124","133,445"
AL051964,Cleo,1964,LF1,Miami- Dade,FL,12086,"561,028",2673837,"390,931","1,095,553"
AL051964,Cleo,1964,LF1_Total,Total First ,,,"561,028",2673837,"390,931","1,095,553"
AL031965,Betsy,1965,LF1,Miami-Dade,FL,12086,"467,524",2673837,"401,427","1,095,553"
AL031965,Betsy,1965,LF1,Monroe,FL,12087,"50,458",81708,"18,726","54,862"
AL031965,Betsy,1965,LF1,Collier,FL,12021,"27,366","397,994","11,765","240,238"
AL031965,Betsy,1965,LF1_Total,Total First ,,,"545,348",3153539,"431,918","1,390,653"
AL031965,Betsy,1965,LF2,Jefferson Parish,LA,22051,"275,141",425884,"80,843","194,761"
AL031965,Betsy,1965,LF2,Lafourche Parish,LA,22057,"62,356",95870,"17,191","41,826"
AL031965,Betsy,1965,LF2,Plaquemines Parish,LA,22075,"24,003",22516,"6,527","9,793"
AL031965,Betsy,1965,LF2,Terrebonne Parish,LA,22109,"68,530",104786,"18,358","47,808"
AL031965,Betsy,1965,LF2_Total,Total Second,,,"430,030",649056,"122,919","294,188"
AL031966,Betsy,1965,Total_All,Total All,,,"975,378",3802595,"554,837","1,684,841"
AL091969,Camille,1969,LF1,Hancock,MS,28045,"17,381",46094,"7,238","24,076"
AL091969,Camille,1969,ID1,Louisiana State Total,LA,,"3,618,564","4,590,241","1,133,700","2,113,216"
AL091969,Camille,1969,DIL1,Virginia State Total,VA,,"4,396,458","8,683,619","1,398,324","3,685,322"
AL091969,Camille,1969,DIL2,Alabama State Total,AL,,"3,437,042","5,074,296","1,104,962","2,339,582"
AL091969,Camille,1969,DIL3,West Virginia State Total,WV,,"1,761,494","1,775,156","594,975","861,633"
AL091969,Camille,1969,Total_All,Total All,,,"13,230,939",20169406,"4,239,199","9,023,829"
AL041970,Celia,1970,LF1,Aransas,TX,48007,"9,088",24944,"4,431","16,031"
AL041970,Celia,1970,LF1,Nueces,TX,48355,"239,279",351674,"74,695","154,633"
AL041970,Celia,1970,LF1,San Patricio,TX,48409,"47,435",69954,"15,163","30,506"
AL041970,Celia,1970,LF1_Total,Total First ,,,"295,802",446572,"94,289","201,170"
AL021972,Agnes,1972,LF1,Gulf,FL,12045,"9,891","15,314","3,984","9,363"
AL021972,Agnes,1972,LF1,Bay,FL,12005,"79,775",185134,"30,162","108,675"
AL021972,Agnes,1972,LF1,Franklin,FL,12037,"7,169",12498,"3,627","8,561"
AL021972,Agnes,1972,LF1,Wakulla County,FL,12129,"7,396","35,178","3,195","14,598"
AL021972,Agnes,1972,LF1,Walton County,FL,12131,"16,977","83,304","7,461","61,083"
AL021972,Agnes,1972,LF1_Total,Total First ,,,"121,208","331,428","48,429","202,280"
AL021972,Agnes,1972,LF2,Essex,NJ,34013,"935,193","849,477","313,449","336,552"
AL021972,Agnes,1972,LF2,Hudson,NJ,34017,"605,957","703,366","215,726","319,636"
AL021972,Agnes,1972,LF2,Middlesex,NJ,34023,"594,765","861,418","178,052","317,338"
AL021972,Agnes,1972,LF2,Ocean ,NJ,34029,"249,271","655,735","122,955","295,648"
AL021972,Agnes,1972,LF2,Monmouth,NJ,34025,"478,184","644,098","157,529","270,238"
AL021972,Agnes,1972,LF2,Union ,NJ,34039,"539,718","569,815","176,031","211,919"
AL021972,Agnes,1972,LF2_Total,Total Second,,,"3,403,088","4,283,909","1,163,742","1,751,331"
AL021972,Agnes,1972,LF3,Bronx County,NY,36005,"1,472,538","1,379,946","497,255","558,005"
AL021972,Agnes,1972,LF3,Kings County,NY,36047,"2,560,180","2,590,516","898,377","1,101,441"
AL021972,Agnes,1972,LF3,Nassau County,NY,36059,"1,407,236","1,383,726","415,112","479,297"
AL021972,Agnes,1972,LF3,New York County,NY,36061,"1,508,134","1,596,273","722,634","923,302"
AL021972,Agnes,1972,LF3,Queens County,NY,36081,"1,984,998","2,278,029","714,679","911,957"
AL021972,Agnes,1972,LF3,Richmond County,NY,36085,"309,681","491,133","95,762","184,530"
AL021972,Agnes,1972,LF3,Suffolk County,NY,36103,"1,174,879","1,525,465","354,377","580,676"
AL021972,Agnes,1972,LF3,Westchester County,NY,36119,"893,646","990,427","296,572","394,293"
AL021972,Agnes,1972,LF3_Total,Total Second,,,"11,311,292","12,235,515","3,994,768","5,133,501"
AL021972,Agnes,1972,DIL1,Georgia State Total,GA,,"4,809,960","10,912,876","1,582,264","4,539,156"
AL021972,Agnes,1972,DIL2,South Carolina State Total,SC,,"2,628,069","4,988,386","882,923","2,446,724"
AL021972,Agnes,1972,DIL3,North Carolina State Total,NC,,,,,
AL021972,Agnes,1972,ID1,Virginia State Total,VA,,"4,774,373","8,683,619","1,582,374","3,685,322"
AL021972,Agnes,1972,ID2,West Virginia State Total,WV,,,,,
AL021972,Agnes,1972,ID3,Ohio State Total,OH,,,,,
AL021972,Agnes,1972,ID4,Maryland State Total,MD,,"4,081,627","6,164,660","1,314,030","2,559,195"
AL021972,Agnes,1972,DIL4,Pennsylvania State Total, PA,,"11,906,033","12,972,008","4,061,113","5,815,392"
AL021973,Agnes,1972,Total_All,Total All,,,"14,835,588","16,850,852","5,206,939","7,087,112"
AL131975,Eloise,1975,LF1,Okaloosa,FL,12091,"105,498",216482,"35,198","103,505"
AL131975,Eloise,1975,LF1,Bay,FL,12005,"89,194","185,134","34,939","108,675"
AL131975,Eloise,1975,LF1,Walton,FL,12131,"18,433",83304,"8,758","61,083"
AL131975,Eloise,1975,LF1_Total,Total First ,,,"213,125",484920,"78,895","273,263"
AL111979,Frederic,1979,LF1,Mobile,AL,01097,"361,762",411411,"128,687","186,226"
AL111979,Frederic,1979,LF1,Baldwin,AL,01033,"76,604",246435,"32,130","132,300"
AL111979,Frederic,1979,LF1,Jackson,MS,28059,"118,274",144975,"41,130","63,617"
AL111979,Frederic,1979,LF1_Total,Total First ,,,"556,640",802821,"201,947","382,143"
AL031983,Alicia,1983,LF1,Brazoria,TX,48039,"184,143",388181,"64,672","150,595"
AL031983,Alicia,1983,LF1,Galveston,TX,48167,"213,333",357117,"87,858","162,101"
AL031983,Alicia,1983,LF1_Total,Total First ,,,"397,476",745298,"152,530","312,696"
AL111989,Hugo,1989,LF1,Charleston,SC,45019,"294,736",419279,"121,164","209,594"
AL111989,Hugo,1989,LF1_Total,Total First ,,,"294,736",419279,"121,164","209,594"
AL041992,Andrew,1992,LF1,Dade,FL,12086,"2,002,357",2673837,"788,141","1,095,553"
AL041992,Andrew,1992,LF1_Total,Total First ,,,"2,002,357",2673837,"788,141","1,095,553"
AL041992,Andrew,1992,LF2,St. Mary Parish,LA,22101,"57,825",47789,"21,849","22,557"
AL041992,Andrew,1992,LF2,Terrebonne Parish,LA,22109,"99,313",104786,"36,357","47,808"
AL041992,Andrew,1992,LF2,Iberia Parish,LA,22045,"69,448",68327,"25,951","31,328"
AL041992,Andrew,1992,LF2_Total,Total Second,,,"226,586",220902,"84,157","101,693"
AL041993,Andrew,1992,Total_All,Total All,,,"2,228,943",2894739,"872,298","1,197,246"
AL171995,Opal,1995,LF1,Escambia,FL,12033,"271,585",324878,"118,560","149,482"
AL171995,Opal,1995,LF1,Okaloosa,FL,12091,"163,298",216482,"70,897","103,505"
AL171995,Opal,1995,LF1,Santa Rosa,FL,12113,"104,099",198268,"41,149","80,364"
AL171995,Opal,1995,LF1,Walton,FL,12131,"33,866",83304,"23,937","61,083"
AL171995,Opal,1995,LF1,Baldwin,AL,01003,"119,962",246435,"62,920","132,300"
AL171995,Opal,1995,LF1_Total,Total First ,,,"692,810",1069367,"317,463","526,734"
AL061996,Fran,1996,LF1,Pender,NC,37141,"36,489",65737,"18,738","31,765"
AL061996,Fran,1996,LF1,Brunswick,NC,37019,"63,032",153064,"45,945","98,132"
AL061996,Fran,1996,LF1,New Hanover,NC,37129,"143,716",234921,"70,896","120,181"
AL061996,Fran,1996,LF1,Horry,SC,45051,"163,784",383101,"110,033","217,330"
AL061996,Fran,1996,LF1_Total,Total First ,,,"407,021",836823,"245,612","467,408"
AL081999,Floyd,1999,LF1,Brunswick,NC,37019,"71,214","153,064","50,361","98,132"
AL081999,Floyd,1999,LF1,New Hanover,NC,37129,"150,895","234,921","77,806","120,181"
AL081999,Floyd,1999,LF1,Horry,SC,45051,"178,550","383,101","120,070","217,330"
AL081999,Floyd,1999,LF1_Total,Total First ,,,"400,659",7.71E+05,"248,237","435,643"
AL012001,Allison,2001,LF1,Brazoria ,TX,48039,"248,355",388181,"93,487","150,595"
AL012001,Allison,2001,LF1,Galveston,TX,480167,"254,545",357117,"114,898","162,101"
AL012001,Allison,2001,LF1,Matagorda,TX,480321,"37,912","36,125","18,720","19,223"
AL012001,Allison,2001,LF1,Harris,TX,480201,"3,483,124","4,780,913","1,327,153","1,917,799"
AL012001,Allison,2001,LF1_Total,Total First ,,,"4,023,936",5562336,"1,554,258","2,249,718"
AL132003,Isabel,2003,LF1,Carteret,NC,37031,"60,838","69,380","43,656","52,199"
AL132003,Isabel,2003,LF1,Craven,NC,37049,"94,122","100,874","40,087","47,777"
AL132003,Isabel,2003,LF1,Hyde,NC,37095,"5,540",4576,"3,330","3,167"
AL132003,Isabel,2003,LF1,Pamlico ,NC,37137,"12,673",12381,"7,039","7,311"
AL132003,Isabel,2003,LF1,Dare,NC,37055,"32,885","37,956","29,951","35,267"
AL132003,Isabel,2003,LF1,Beaufort,NC,37013,"45,080","44,272","23,190","24,539"
AL132003,Isabel,2003,LF1_Total,Total First ,,,"251,138","269,439","147,253","170,260"
AL032004,Charley,2004,LF1,Lee,FL,12071,"512,180","822,453","295,553","442,027"
AL032004,Charley,2004,LF1_Total,Total First ,,,"512,180","822,453","295,553","442,027"
AL032004,Charley,2004,LF2,Charleston,SC,45019,"333,122",419279,"153,615","209,594"
AL032004,Charley,2004,LF2,Georgetown,SC,45043,"59,176",64722,"30,981","37,350"
AL032004,Charley,2004,LF2_Total,Total Second,,,"392,298",484001,"184,596","246,944"
AL032005,Charley,2004,Total_All,Total All,,,"904,478","1,306,454","480,149","688,971"
AL092004,Ivan,2004,LF1,Baldwin,AL,01033,"156,573",246435,"84,785","132,300"
AL092004,Ivan,2004,LF1,Mobile,AL,01097,"397,521",411411,"170,247","186,226"
AL092004,Ivan,2004,LF1,Escambia,FL,12003,"301,768","324,878","130,603","149,482"
AL092004,Ivan,2004,LF1_Total,Total First ,,,"855,862",982724,"385,635","468,008"
AL062004,Frances,2004,LF1,Palm Beach,FL,12099,"1,240,191",1518477,"614,625","720,741"
AL062004,Frances,2004,LF1,St. Lucie,FL,12111,"225,240",358704,"109,613","160,601"
AL062004,Frances,2004,LF1,Indian River,FL,12061,"124,105",167352,"65,463","86,505"
AL062004,Frances,2004,LF1,Martin,FL,12085,"137,009",162006,"72,483","82,908"
AL062004,Frances,2004,LF1_Total,Total First ,,,"1,726,545",2206539,"862,184","1,050,755"
AL112004,Jeanne,2004,LF1,Indian River,FL,12061,"124,105",167352,"65,463","86,505"
AL112004,Jeanne,2004,LF1,Martin,FL,12085,"137,009",162006,"72,483","82,908"
AL112004,Jeanne,2004,LF1,Palm Beach,FL,12099,"1,240,191",1518477,"614,625","720,741"
AL112004,Jeanne,2004,LF1,St. Lucie,FL,12111,"225,240",358704,"109,613","160,601"
AL112004,Jeanne,2004,LF1_Total,Total First ,,,"1,726,545",2206539,"862,184","1,050,755"
AL122005,Katrina,2005,LF1,Broward,FL,12011,"1,766,620",1947026,"793,132","867,215"
AL122005,Katrina,2005,LF1,Dade,FL,12086,"2,413,583",2673837,"934,527","1,095,553"
AL122005,Katrina,2005,LF1_Total,Total First ,,,"4,180,203",4620863,"1,727,659","1,962,768"
AL122005,Katrina,2005,LF2,Plaquemines Parish,LA,22075,"28,549",22516,"11,650","9,793"
AL122005,Katrina,2005,LF2,Jefferson Parish,LA,22051,"451,652","425,884","196,381","194,761"
AL122005,Katrina,2005,LF2_Total,Total Second,,,"480,201",448400,"208,031","204,554"
AL122006,Katrina,2005,Total_All,Total All,,,"4,660,404",5069263,"1,935,690","2,167,322"
AL252005,Wilma,2005,LF1,Collier,FL,12021,"306,640",397994,"182,515","240,238"
AL252005,Wilma,2005,LF1,Monroe,FL,12087,"76,135",81708,"52,384","54,862"
AL252005,Wilma,2005,LF1_Total,Total First ,,,"382,775",479702,"234,899","295,100"
AL182005,Rita,2005,LF1,Cameron,LA,22023,"9,576",4902,"4,775","4,018"
AL182005,Rita,2005,LF1,Jefferson,TX,48245,"246,063",250830,"103,440","110,170"
AL182005,Rita,2005,LF1_Total,Total First ,,,"255,639",255732,"108,215","114,188"
AL092008,Ike,2008,LF1,Galveston,TX,48201,"288,489",357117,"130,893","162,101"
AL092008,Ike,2008,LF1,Brazoria,TX,48039,"301,228",388181,"115,347","150,595"
AL092008,Ike,2008,LF1,Chambers,TX,48071,"29,366",51288,"12,935","19,198"
AL092008,Ike,2008,LF1,Jefferson,TX,48245,"242,201","250,830","102,909","110,170"
AL092008,Ike,2008,LF1,Harris,TX,48201,"3,980,602","4,780,913","1,566,929","1,917,799"
AL092008,Ike,2008,LF1_Total,Total First ,,,"4,841,886",5828329,"1,929,013","2,359,863"
AL072008,Gustav,2008,LF1,Lafourche Parish,LA,22057,"93,556","95,870","37,861","41,826"
AL072008,Gustav,2008,LF1,Terrebonne Parish,LA,22109,"109,161","104,786","43,597","47,808"
AL072008,Gustav,2008,LF1_Total,Total First ,,,"202,717","200,656","81,458","89,634"
AL092011,Irene,2011,LF1,Carteret,NC,37031,"67,432",69380,"48,350","52,199"
AL092011,Irene,2011,LF1,Onslow,NC,37133,"185,068",207298,"70,970","87,540"
AL092011,Irene,2011,LF1,Craven,NC,37049,"104,866","100,874","45,491","47,777"
AL092011,Irene,2011,LF1,Pamlico,NC,37137,"13,242",12381,"7,578","7,311"
AL092011,Irene,2011,LF1,Beaufort,NC,37013,"47,685","44,272","24,899","24,539"
AL092011,Irene,2011,LF1_Total,Total First ,,,"418,293",434205,"197,288","219,366"
AL182012,Sandy,2012,LF1,Atlantic,NJ,34001,"274,657",275638,"127,266","132,147"
AL182012,Sandy,2012,LF1,Cape May,NJ,34009,"96,267",95634,"98,700","99,422"
AL182012,Sandy,2012,LF1,Cumberland County,NJ,34011,"156,862","151,356","56,165","57,258"
AL182012,Sandy,2012,LF1,Middlesex County,NJ,34023,"819,389","861,418","297,035","317,338"
AL182012,Sandy,2012,LF1,Monmouth County,NJ,34025,"627,682","644,098","259,396","270,238"
AL182012,Sandy,2012,LF1,Ocean County,NJ,34029,"580,013","655,735","280,558","295,648"
AL182012,Sandy,2012,LF1,Salem County,NJ,34033,"65,427","65,117","27,612","27,736"
AL182012,Sandy,2012,LF1_Total,Total First ,,,"2,620,297",2748996,"1,146,732","1,199,787"
AL182012,Sandy,2012,ID1,New York Total,NY,,"19,574,362","19,677,151","8,172,280","8,586,228"
AL182012,Sandy,2012,ID2,Connecticut Total,CT,,"3,595,211","3,566,022","1,494,242","1,536,344"
AL142016,Matthew,2016,LF1,Charleston,SC,45019,"397,433",419279,"184,324","209,594"
AL142016,Matthew,2016,LF1,Georgetown,SC,45043,"61,609",64722,"34,932","37,350"
AL142016,Matthew,2016,LF1_Total,Total First ,,,"459,042",484001,"219,256","246,944"
AL092017,Harvey,2017,LF1,Aransas,TX,48007,"25,421",24944,"16,389","16,031"
AL092017,Harvey,2017,LF1,Calhoun,TX,48057,"21,716",19706,"12,017","10,863"
AL092017,Harvey,2017,LF1_Total,Total First ,,,"47,137",44650,"28,406","26,894"
AL112017,Irma,2017,LF1,Monroe,FL,12087,"76,556",81708,"53,590","54,862"
AL112017,Irma,2017,LF1_Total,Total First ,,,"76,556",81708,"53,590","54,862"
AL112017,Irma,2017,LF2,Collier,FL,12021,"373,286",397994,"214,308","240,238"
AL112017,Irma,2017,LF2_Total,Total Second,,,"373,286",397994,"214,308","240,238"
AL112018,Irma,2017,Total_All,Total All,,,"449,842",479702,"267,898","295,100"
AL142018,Michael,2018,LF1,Bay,FL,12005,"186,555","185,134","104,312","108,675"
AL142018,Michael,2018,LF1,Gulf,FL,12045,"16,137","15,314","9,704","9,363"
AL142018,Michael,2018,LF1_Total,Total First ,,,"202,692","200,448","114,016","118,038"
AL142018,Michael,2018,DIL1,Georgia State,GA,,"4,891,628","5,074,296","4,325,468","4,539,156"
AL142018,Michael,2018,DIL2,Alabama State,AL,,"10,519,389","10,912,876","2,270,707","2,339,582"
AL062018,Florence,2018,LF1,Brunswick,NC,37019,"137,071",153064,"92,080","98,132"
AL062018,Florence,2018,LF1,New Hanover,NC,37129,"232,566",234921,"113,133","120,181"
AL062018,Florence,2018,LF1,Pender,NC,37141,"62,121",65737,"29,561","31,765"
AL062018,Florence,2018,LF1,Onslow,NC,37133,"197,069","207,298","80,138","87,540"
AL062019,Florence,2018,LF1_Total,Total First ,,,"628,827",661020,"314,912","337,618"
AL132020,Laura,2020,LF1,Cameron Parish,LA,22023,"5,623",4902,"4,194","4,018"
AL132020,Laura,2020,LF1_Total,Total First ,,,5623,4902,"4,194","4,018"
AL132020,Laura,2020,DIL1,Texas State,TX,,"29,232,474","30,029,572",11639842,12136678
AL132020,Laura,2020,DIL2,Arkansas State,AR,,"3,014,195","3,045,637",1368219,1395709
AL132020,Laura,2020,DIL3,Tennesee State,TN,,"6,925,619","7,051,339",3040712,3144618
AL132020,Laura,2020,DIL4,Mississippi State,MS,,"2,958,141","2,940,057",1321936,1342831
